url_length,domain_length,subdomain_length,path_length,num_dots,num_hyphens,num_underscores,num_slashes,num_digits,num_special_chars,num_sensitive_words,has_@,has_https,has_ip,has_suspicious_tld,is_shortened,label
26,15,0,7,2,0,0,1,2,0,0,0,0,0,0,0,1
70,11,0,55,1,7,0,2,0,0,0,0,0,0,0,0,0
105,9,0,45,4,1,0,6,5,2,0,0,1,0,0,0,1
20,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,7,0,6,1,0,0,1,1,2,0,0,0,0,0,0,0
71,17,0,50,1,4,0,2,0,0,0,0,0,0,0,0,0
115,8,4,20,9,0,0,3,10,10,0,0,1,0,0,0,1
391,10,7,24,3,12,0,8,218,38,1,0,0,0,0,0,1
55,18,0,10,3,1,0,2,0,3,0,0,0,0,0,0,1
20,5,0,12,2,0,0,1,0,0,0,0,0,0,0,0,1
15,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
98,9,0,10,3,0,1,1,10,12,0,0,0,0,0,0,1
27,7,0,15,2,0,0,1,0,0,0,0,0,0,1,0,1
59,15,7,32,3,3,0,3,0,0,0,0,0,0,0,0,0
60,14,5,21,3,0,0,2,6,4,0,0,0,0,0,0,0
50,10,0,21,2,0,0,2,4,2,0,0,0,0,0,0,0
41,9,3,24,3,0,0,3,5,0,0,0,0,0,0,0,0
46,14,13,14,3,0,1,1,0,0,0,0,0,0,0,0,0
60,7,0,49,2,2,4,1,1,0,0,0,0,0,0,0,0
69,15,8,41,2,0,0,3,19,0,0,0,0,0,0,0,1
